index,temp,vAvg,vMax,vMin,gIndex
1,97.0,1802,1805.0,1798.0,10
2,96.75,1794,1797.0,1791.0,6
3,96.5,1787,1790.0,1784.0,6
4,96.25,1780,1783.0,1778.0,5
5,96.0,1775,1777.0,1773.0,4
6,95.75,1771,1772.0,1770.0,3
7,95.5,1768,1769.0,1767.0,3
8,95.25,1764,1766.0,1763.0,4
9,95.0,1761,1762.0,1760.0,3
10,94.75,1758,1759.0,1756.0,4
11,94.5,1754,1755.0,1753.0,3
12,94.25,1752,1753.0,1751.0,3
13,94.0,1749,1750.0,1748.0,4
14,93.75,1747,1748.0,1747.0,3
15,93.5,1746,1746.0,1745.0,3
16,93.25,1744,1745.0,1744.0,4
17,93.0,1743,1744.0,1743.0,3
18,92.75,1742,1743.0,1742.0,4
19,92.5,1741,1741.0,1740.0,3
20,92.25,1740,1740.0,1739.0,4
21,92.0,1738,1739.0,1738.0,4
22,91.75,1736,1737.0,1735.0,5
23,91.5,1734,1735.0,1733.0,4
24,91.25,1732,1733.0,1731.0,4
25,91.0,1730,1731.0,1730.0,5
26,90.75,1729,1729.0,1728.0,4
27,90.5,1728,1728.0,1727.0,4
28,90.25,1726,1727.0,1725.0,6
29,90.0,1724,1725.0,1723.0,4
30,89.75,1722,1723.0,1721.0,5
31,89.5,1720,1720.0,1719.0,5
32,89.25,1718,1718.0,1717.0,4
33,89.0,1715,1716.0,1714.0,4
34,88.75,1713,1714.0,1712.0,5
35,88.5,1710,1711.0,1710.0,5
36,88.25,1709,1709.0,1708.0,4
37,88.0,1708,1708.0,1707.0,4
38,87.75,1706,1707.0,1705.0,6
39,87.5,1704,1704.0,1703.0,4
40,87.25,1702,1702.0,1701.0,4
41,87.0,1700,1701.0,1700.0,4
42,86.75,1699,1699.0,1698.0,4
43,86.5,1697,1698.0,1696.0,4
44,86.25,1695,1695.0,1694.0,4
45,86.0,1693,1693.0,1692.0,3
46,85.75,1691,1692.0,1690.0,5
47,85.5,1688,1689.0,1687.0,4
48,85.25,1686,1687.0,1685.0,5
49,85.0,1684,1685.0,1683.0,5
50,84.75,1683,1683.0,1682.0,4
51,84.5,1681,1682.0,1680.0,5
52,84.25,1678,1679.0,1677.0,6
53,84.0,1676,1676.0,1675.0,4
54,83.75,1673,1674.0,1673.0,5
55,83.5,1672,1672.0,1671.0,5
56,83.25,1669,1670.0,1668.0,6
57,83.0,1666,1667.0,1665.0,6
58,82.75,1664,1665.0,1664.0,4
59,82.5,1662,1663.0,1662.0,5
60,82.25,1660,1661.0,1660.0,6
61,82.0,1658,1659.0,1657.0,10
62,81.75,1656,1657.0,1655.0,9
63,81.5,1653,1654.0,1651.0,8
