temp,vAvg,vMax,vMin,vCount
97.25,1801.5,1805.0,1798.0,10
97.0,1794.0,1797.0,1791.0,6
96.75,1787.0,1790.0,1784.0,6
96.5,1780.5,1783.0,1778.0,5
96.25,1775.0,1777.0,1773.0,4
96.0,1771.0,1772.0,1770.0,3
95.75,1768.0,1769.0,1767.0,3
95.5,1764.5,1766.0,1763.0,4
95.25,1761.0,1762.0,1760.0,3
95.0,1757.5,1759.0,1756.0,4
94.75,1754.0,1755.0,1753.0,3
94.5,1752.0,1753.0,1751.0,3
94.25,1749.0,1750.0,1748.0,4
94.0,1747.5,1748.0,1747.0,3
93.75,1745.5,1746.0,1745.0,3
93.5,1744.5,1745.0,1744.0,4
93.25,1743.5,1744.0,1743.0,3
93.0,1742.5,1743.0,1742.0,4
92.75,1740.5,1741.0,1740.0,3
92.5,1739.5,1740.0,1739.0,4
92.25,1738.5,1739.0,1738.0,4
92.0,1736.0,1737.0,1735.0,5
91.75,1734.0,1735.0,1733.0,4
91.5,1732.0,1733.0,1731.0,4
91.25,1730.5,1731.0,1730.0,5
91.0,1728.5,1729.0,1728.0,4
90.75,1727.5,1728.0,1727.0,4
90.5,1726.0,1727.0,1725.0,6
90.25,1724.0,1725.0,1723.0,4
90.0,1722.0,1723.0,1721.0,5
89.75,1719.5,1720.0,1719.0,5
89.5,1717.5,1718.0,1717.0,4
89.25,1715.0,1716.0,1714.0,4
89.0,1713.0,1714.0,1712.0,5
88.75,1710.5,1711.0,1710.0,5
88.5,1708.5,1709.0,1708.0,4
88.25,1707.5,1708.0,1707.0,4
88.0,1706.0,1707.0,1705.0,6
87.75,1703.5,1704.0,1703.0,4
87.5,1701.5,1702.0,1701.0,4
87.25,1700.5,1701.0,1700.0,4
87.0,1698.5,1699.0,1698.0,4
86.75,1697.0,1698.0,1696.0,4
86.5,1694.5,1695.0,1694.0,4
86.25,1692.5,1693.0,1692.0,3
86.0,1691.0,1692.0,1690.0,5
85.75,1688.0,1689.0,1687.0,4
85.5,1686.0,1687.0,1685.0,5
85.25,1684.0,1685.0,1683.0,5
85.0,1682.5,1683.0,1682.0,4
84.75,1681.0,1682.0,1680.0,5
84.5,1678.0,1679.0,1677.0,6
84.25,1675.5,1676.0,1675.0,4
84.0,1673.5,1674.0,1673.0,5
83.75,1671.5,1672.0,1671.0,5
83.5,1669.0,1670.0,1668.0,6
83.25,1666.0,1667.0,1665.0,6
83.0,1664.5,1665.0,1664.0,4
82.75,1662.5,1663.0,1662.0,5
82.5,1660.5,1661.0,1660.0,6
82.25,1658.0,1659.0,1657.0,10
82.0,1656.0,1657.0,1655.0,9
81.75,1652.5,1654.0,1651.0,8
81.5,1649.5,1651.0,1648.0,9
81.25,1646.0,1647.0,1645.0,6
81.0,1643.0,1644.0,1642.0,5
80.75,1641.5,1642.0,1641.0,5
80.5,1639.0,1640.0,1638.0,6
80.25,1636.0,1637.0,1635.0,7
80.0,1632.5,1634.0,1631.0,7
79.75,1629.5,1631.0,1628.0,7
79.5,1627.0,1628.0,1626.0,7
79.25,1624.5,1625.0,1624.0,6
